obsid,Teff,log(g),[M/H],Mass,Radius
100112057,0.3600770218228497,0.3875598086124402,0.8214934136825434,0.3113278319579895,0.2267463034452618
105606073,0.4050064184852373,0.177432216905901,0.3454243442654614,0.1420355088772193,0.4129579721756865
1057405239,0.4845956354300385,0.3492822966507176,0.6842044269324371,0.0837709427356839,0.2003787602884405
1059210095,0.3440308087291397,0.1814194577352472,0.5599721868119132,0.1332833208302075,0.3395367470318304
1059304078,0.2034659820282414,0.1806220095693779,0.7029010700351528,0.2343085771442861,0.4982154563333091
1059306091,0.4043645699614888,0.5011961722488038,0.7575230810831691,0.1545386346586647,0.0706897807560637
1059308027,0.261232349165597,0.3863636363636363,0.7706184571406497,0.1515378844711177,0.1764877267098842
1059308126,0.4088575096277278,0.4641148325358849,0.6529532197628153,0.0817704426106527,0.2089372860368563
1059313099,0.3960205391527598,0.3771929824561403,0.7210182717193958,0.2080520130032508,0.2290407167310073
1068007028,0.4197689345314503,0.5917065390749602,0.8266311275930003,0.1780445111277819,0.0429018865175904
1085503124,0.4813863928112964,0.3106060606060605,0.6448796693320971,0.1140285071267817,0.2366523417583218
1085601053,0.3973042362002568,0.3265550239234449,0.7849499748908718,0.1737934483620905,0.257775511690582
1097309214,0.3664955070603337,0.4047049441786284,0.6890717348476069,0.1835458864716179,0.1441110058999198
1111602005,0.509627727856226,0.6303827751196173,0.7592227759106887,0.2083020755188797,0.0538276640687595
116802214,0.3453145057766367,0.314194577352472,0.8009811874686136,0.1637909477369342,0.2666618107655328
116804062,0.3241335044929396,0.3652312599681021,0.761501912156681,0.1420355088772193,0.159953383349115
116807127,0.4717586649550704,0.3185805422647527,0.6861745277552439,0.1235308827206801,0.2264549493772307
116809017,0.4332477535301668,0.284688995215311,0.5153165681616254,0.1735433858464616,0.3057032558817103
116810058,0.250320924261874,0.325358851674641,0.8880905473789933,0.0935233808452113,0.2183698739893655
116810117,0.3793324775353017,0.3624401913875598,0.6835477266581681,0.1792948237059264,0.2298419404180931
116810150,0.3896020539152758,0.435805422647528,0.7391354734036388,0.1870467616904226,0.1442566829339354
116810200,0.3376123234916557,0.2344497607655502,0.6517943369258701,0.1760440110027507,0.3807269283997377
116814235,0.4544287548138639,0.5637958532695374,0.6269169853594467,0.1437859464866216,0.0870056085658096
116815015,0.2522464698331195,0.3022328548644337,0.8816780623478966,0.1540385096274068,0.2615995338334912
116906165,0.5044929396662385,0.6399521531100477,0.7146057866882991,0.2380595148787197,0.0958190691237526
117901075,0.1790757381258023,0.2065390749601274,0.6673233669409355,0.0950237559389847,0.3602957243790516
117901093,0.4621309370988444,0.5486443381180223,0.7598408467570594,0.2983245811452863,0.1068541044504333
117904054,0.4101412066752243,0.3452950558213716,0.7770695715996445,0.1492873218304576,0.228822201179984
117913204,0.1964056482670089,0.232456140350877,0.7734384053772163,0.1517879469867467,0.3211814407458664
119703009,0.1919127086007699,0.166267942583732,0.6896511762660794,0.1560390097524381,0.473887391652706
119703190,0.3164313222079586,0.3050239234449761,0.8162398114883918,0.2673168292073019,0.3346565663923083
119703199,0.3234916559691911,0.5123604465709727,0.9160582531772704,0.2083020755188797,0.0969116468788695
119704077,0.4146341463414633,0.3596491228070174,0.8209526016919689,0.2055513878469617,0.2627285308471119
119704189,0.3664955070603337,0.3209728867623603,0.7733225170935218,0.172293073268317,0.2670988418675796
119706248,0.3440308087291397,0.2791068580542263,0.7107042144705836,0.2415603900975244,0.2842887318814189
119708097,0.3177150192554556,0.3405103668261563,0.8798238498087843,0.1612903225806451,0.2382912083909971
119709074,0.3209242618741976,0.3197767145135566,0.8523583265731834,0.2083020755188797,0.2778425231262291
119714109,0.3985879332477533,0.350079744816587,0.7879244408390311,0.1122780695173793,0.2192439361934591
122603249,0.5757381258023107,0.3939393939393939,0.6376173368872406,0.080770192548137,0.2040571053973341
125503017,0.3863928112965338,0.4740829346092504,0.7075752308108316,0.1362840710177544,0.1193094908587661
126013001,0.4345314505776634,0.4999999999999999,0.7330320237957275,0.1812953238309577,0.0864229004297472
126013057,0.4197689345314503,0.6152312599681019,0.8201800131340055,0.1475368842210552,0.0192657877485614
132501007,0.269576379974326,0.2870813397129185,0.8323096534940317,0.2435608902225556,0.3444169276713525
132502139,0.2137355584082154,0.2472089314194577,0.7834820566307412,0.0962740685171293,0.2336295433024983
132505117,0.3722721437740692,0.4405901116427432,0.729323598717503,0.1515378844711177,0.1808216184718479
132505150,0.3786906290115532,0.3971291866028709,0.6890331054197086,0.148287071767942,0.1604268337096656
132505220,0.5012836970474965,0.325358851674641,0.6655077838297214,0.1385346336584146,0.2387282394930439
132508005,0.3620025673940947,0.3241626794258372,0.7282806041642522,0.0640160040010002,0.2047126520504042
132508117,0.3119383825417201,0.3193779904306218,0.6276509444895121,0.1067766941735434,0.2406220409352465
132508118,0.4037227214377403,0.2623604465709728,0.6429095685092903,0.2828207051762941,0.4062204093524656
132508151,0.4172015404364568,0.4860446570972886,0.7279715687410668,0.1380345086271567,0.0680311748852793
132609005,0.2946084724005136,0.1224082934609249,0.5655348244292502,0.040260065016254,0.3796707699031247
135204156,0.279204107830552,0.3644338118022326,0.6938617839069803,0.1197799449862465,0.1533614975599096
135802053,0.2284980744544285,0.2073365231259968,0.5618263993510255,0.1332833208302075,0.3950032777332654
135802127,0.8517329910141207,0.5418660287081339,0.7636265306910804,0.1822955738934734,0.2546434554592468
135803003,0.5789473684210527,0.3979266347687399,0.0,0.121030257564391,0.2598514094253041
135803082,0.4704749679075735,0.3556618819776713,0.6975702089852048,0.1430357589397349,0.2505644985068104
135804160,0.3254172015404362,0.1399521531100478,0.4828292192992621,0.1317829457364341,0.4856143928909607
135805186,0.3632862644415917,0.5263157894736842,0.8434735581566036,0.1847961990497624,0.0817976545997523
135805220,0.3279845956354297,0.3608452950558213,0.9098775447135627,0.2505626406601651,0.1548182679000655
135809073,0.4897304236200255,0.3724082934609248,0.7064936068296828,0.3725931482870718,0.3078155728749363
135809081,0.1482670089858793,0.0889154704944177,0.6670915903735465,0.1045261315328832,0.5757884769466094
135815111,0.3684210526315787,0.367224880382775,0.6668984432340557,0.1530382595648912,0.2063150994245757
135815141,0.2657252888318355,0.3405103668261563,0.9166763240236412,0.1582895723930983,0.2505280792483065
139906215,0.3498074454428752,0.435805422647528,0.6955614787344999,0.164291072768192,0.1310729113555248
139907126,0.2336328626444159,0.2962519936204146,0.6683663614941862,0.134783695923981,0.2696846092213563
141703084,0.3998716302952503,0.5582137161084529,0.6930891953490168,0.1342835708927232,0.0608930002185155
141708014,0.3421052631578947,0.5765550239234448,0.779850890408313,0.1460365091272818,0.0455969116468788
141708148,0.4204107830551988,0.3086124401913875,0.6611040290493297,0.1140285071267817,0.2338116395950178
141711159,0.4942233632862645,0.3102073365231259,0.5852744620852164,0.0637659414853713,0.2043484594653652
141803249,0.5198973042362001,0.335725677830941,0.3722331672267933,0.1205301325331333,0.2400029135406803
141807226,0.3440308087291397,0.4453748006379584,0.6154440452736895,0.0985246311577894,0.1607181877776969
144907229,0.3010269576379971,0.3955342902711324,0.8179395063159114,0.1612903225806451,0.1769975963289387
157802173,0.2163029525032089,0.2300637958532695,0.736508672306563,0.1227806951737934,0.38345837278753
157803053,0.3555840821566107,0.354066985645933,0.627187391354734,0.1287821955488872,0.1985942166217496
157803109,0.4107830551989728,0.5147527910685804,0.6673619963688338,0.1355338834708677,0.0839463908514822
157804063,0.4550706033376124,0.3269537480063795,0.6760922470738208,0.1325331332833208,0.2632384004661665
157808037,0.3350449293966622,0.3712121212121212,0.6400896202727238,0.1155288822205551,0.1598805448321072
157811009,0.2676508344030806,0.3771929824561403,0.7493336423687564,0.1500375093773443,0.1603539951926578
157814132,0.3703465982028242,0.5917065390749602,0.7384787731293699,0.1242810702675669,0.0284434408915434
159409037,0.4736842105263155,0.4840510366826155,0.9014949588596592,0.4161040260065016,0.1994682788258431
159409135,0.4229781771501923,0.3628389154704942,0.7834820566307412,0.2878219554888722,0.2622914997450652
159412012,0.2381258023106545,0.3269537480063795,0.7346544597674508,0.1300325081270317,0.1950615485468716
159412017,0.5391527599486521,0.441786283891547,0.7185846177618109,0.3845961490372593,0.2756937868744992
159412093,0.3382541720154042,0.3676236044657096,0.6983041681152702,0.1467866966741685,0.1638866632675359
159412101,0.251604621309371,0.3125996810207335,0.9247885038822574,0.1795448862215554,0.2543885206497196
159412158,0.253530166880616,0.3177830940988834,0.9257542395797118,0.1592898224556139,0.2405856216767427
159412180,0.3876765083440308,0.297846889952153,0.7271217213273071,0.1220305076269067,0.3015150411537621
159412188,0.4249037227214374,0.3915470494417862,0.8248928033375825,0.4033508377094274,0.2817029645276422
160109134,0.1655969191270858,0.2492025518341307,0.8070460076486267,0.1667916979244811,0.3289387428071965
160113046,0.3145057766367136,0.3082137161084528,0.588519334028663,0.0842710677669417,0.1855561220773544
160113225,0.5911424903722722,0.4996012759170655,0.7891605825317727,0.3758439609902476,0.1704057105397333
182806224,0.3369704749679076,0.4760765550239233,0.8192529068644493,0.1497874468617154,0.0957826498652487
184602109,0.6110397946084722,0.2563795853269536,0.3572835786302004,0.196549137284321,0.2748561439289095
184613043,0.1611039794608473,0.1176236044657096,0.5924981651021748,0.1010252563140785,0.4468278825843105
186101086,0.3549422336328627,0.39274322169059,0.6679414377873063,0.0882720680170042,0.1681112972539879
186105019,0.2984595635430036,0.3887559808612441,0.7715455634102059,0.1300325081270317,0.1567849078592759
187401033,0.3671373555840822,0.5239234449760765,0.7395603971105187,0.1317829457364341,0.043411756136645
187401244,0.3446726572528882,0.5115629984051037,0.8737590296287712,0.1875468867216804,0.0927962706679292
187402037,0.3267008985879331,0.2990430622009569,0.8081276316297755,0.1080270067516879,0.2335202855269866
187402117,0.3196405648267006,0.465311004784689,0.7639355661142658,0.1340335083770942,0.0894456988855706
187404202,0.3671373555840822,0.39274322169059,0.9019971414223354,0.2945736434108527,0.2674266151941147
187405200,0.3812580231065468,0.4665071770334928,0.8119133155637964,0.2600650162540635,0.1662539150702891
187406203,0.3767650834403078,0.5059808612440192,0.7779966778692007,0.1450362590647662,0.0638793794158351
187407029,0.3478818998716302,0.3955342902711324,0.7230270019701008,0.1950487621905476,0.1906912375264039
187407030,0.2965340179717586,0.3791866028708134,0.7829412446401668,0.1740435108777194,0.1963726418530118
187501132,0.3465982028241332,0.3261562998405104,0.8108316915826476,0.0882720680170042,0.2227766042683371
187503248,0.0911424903722721,0.2117224880382773,0.8991385637578707,0.172293073268317,0.4423118945298273
187506089,0.5173299101412066,0.3329346092503986,0.6080658245451385,0.0757689422355589,0.1917473960230169
187506152,0.3376123234916557,0.580542264752791,0.9427125584270096,0.1360340085021255,0.0221429091703692
187507127,0.3709884467265723,0.3153907496012759,0.7110518793216671,0.0840210052513128,0.2306795833636827
187509119,0.3305519897304236,0.4019138755980861,0.762660794993626,0.1650412603150787,0.1809308762473596
187509202,0.3029525032092426,0.3401116427432216,0.6410167265422798,0.1272818204551138,0.1882511472066428
190407133,0.4204107830551988,0.3456937799043061,0.6786804187429983,0.2855713928482121,0.2248889212615631
190407224,0.3344030808729137,0.3030303030303028,0.6252172905319272,0.1352838209552388,0.2695025129288367
190507204,0.3863928112965338,0.2779106858054226,0.715687410669448,0.1260315078769692,0.2812659334255954
190507220,0.4184852374839538,0.3397129186602869,0.6487812415498125,0.2878219554888722,0.384186757957608
190507227,0.3658536585365852,0.3728070175438597,0.6714953451539383,0.1330332583145786,0.1795833636827154
195404173,0.2413350449293965,0.3201754385964912,0.8106385444431567,0.1692923230807702,0.2310073566902178
195411023,0.4062901155327343,0.5470494417862838,0.6805346312821107,0.1275318829707427,0.0358365503678344
